epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.3587,2.59951,11.7863,1.89112,0.86778,0.23622,0.25923,0.13957,1.23088,5.55138,1.12641,0.000474076,0.000474076,0.000474076
2,96.4513,1.77318,5.833,1.35545,0.77651,0.48876,0.53532,0.28006,1.12269,2.35378,1.02051,0.000931591,0.000931591,0.000931591
3,134.276,1.67132,3.89035,1.33662,0.88042,0.60701,0.63212,0.35689,1.00292,3.35425,0.98657,0.00137024,0.00137024,0.00137024
4,173.591,1.51971,2.89864,1.27029,0.91252,0.56404,0.62007,0.33631,1.10836,1.6473,0.98562,0.00134412,0.00134412,0.00134412
5,217.414,1.46974,2.1996,1.28792,0.97104,0.64507,0.76296,0.46256,0.89982,2.11958,0.95204,0.00131582,0.00131582,0.00131582
6,263.819,1.39682,1.59895,1.25766,0.89319,0.79738,0.90493,0.68712,0.80286,1.35784,0.93329,0.00128753,0.00128753,0.00128753
7,308.618,1.38203,1.41876,1.26889,0.90468,0.92593,0.98128,0.68414,0.79103,2.60782,0.91941,0.00125923,0.00125923,0.00125923
8,353.921,1.32867,1.27852,1.25149,0.92993,0.96734,0.99203,0.6233,0.85851,1.70365,0.93337,0.00123094,0.00123094,0.00123094
9,397.35,1.32411,1.19827,1.23866,0.98535,0.95799,0.9947,0.61326,0.88505,1.01555,0.9338,0.00120265,0.00120265,0.00120265
10,437.743,1.25388,1.09194,1.21014,0.84993,0.97241,0.95599,0.68284,0.81171,1.1226,0.9198,0.00117435,0.00117435,0.00117435
11,498.588,1.24259,1.00104,1.19133,0.91183,0.97947,0.99181,0.62334,0.91449,4.26138,0.91886,0.00114606,0.00114606,0.00114606
12,544.939,1.23458,0.89895,1.1892,0.95156,0.98312,0.99202,0.68084,0.77526,1.25596,0.89551,0.00111776,0.00111776,0.00111776
13,592.266,1.2329,0.85984,1.18897,0.94757,0.96772,0.99361,0.66093,0.83729,0.77615,0.9265,0.00108947,0.00108947,0.00108947
14,629.81,1.19948,0.82531,1.18894,0.93698,0.97109,0.99358,0.65639,0.80811,0.728,0.92028,0.00106118,0.00106118,0.00106118
15,670.127,1.1885,0.77938,1.1762,0.96766,0.99537,0.9943,0.7229,0.70058,0.77453,0.88548,0.00103288,0.00103288,0.00103288
16,710.605,1.20884,0.78984,1.17149,0.99289,0.99211,0.99497,0.72574,0.72225,0.69229,0.89715,0.00100459,0.00100459,0.00100459
17,754.121,1.15046,0.7722,1.16844,0.90718,0.95372,0.99323,0.79089,0.77112,0.56581,0.91634,0.000976293,0.000976293,0.000976293
18,796.915,1.13875,0.74816,1.17134,0.96702,0.99301,0.99219,0.68726,0.83089,0.74408,0.88312,0.000947999,0.000947999,0.000947999
19,839.768,1.11269,0.75384,1.15584,0.9603,0.99201,0.9944,0.63572,0.74415,1.2732,0.89727,0.000919704,0.000919704,0.000919704
20,887.92,1.14257,0.72733,1.15536,0.88173,0.95978,0.98173,0.72095,0.71618,0.89715,0.90235,0.00089141,0.00089141,0.00089141
21,929.721,1.07641,0.70401,1.15309,0.98683,0.99417,0.99386,0.72769,0.88326,0.56195,0.88749,0.000863116,0.000863116,0.000863116
22,975.409,1.13772,0.72011,1.14883,0.97343,0.97851,0.99407,0.69839,0.8307,0.58064,0.90043,0.000834822,0.000834822,0.000834822
23,1018.46,1.10803,0.68996,1.1643,0.94619,0.97861,0.9943,0.72662,0.73065,0.6047,0.89759,0.000806528,0.000806528,0.000806528
24,1061.13,1.11847,0.71242,1.15054,0.98622,0.96062,0.99079,0.72257,0.81239,0.94959,0.88011,0.000778233,0.000778233,0.000778233
25,1102.28,1.11506,0.71278,1.14753,0.97312,0.97959,0.995,0.66442,0.81429,0.77412,0.87929,0.000749939,0.000749939,0.000749939
26,1145.53,1.08366,0.68978,1.13437,0.98089,0.98671,0.9934,0.72236,0.72393,0.65919,0.87947,0.000721645,0.000721645,0.000721645
27,1185.27,1.04397,0.66048,1.12377,0.97391,0.97152,0.99174,0.7472,0.76653,0.80421,0.87535,0.000693351,0.000693351,0.000693351
