epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8946,2.55456,11.8101,1.85612,0.82983,0.34646,0.42276,0.21733,1.40985,2.16534,1.19973,0.000474148,0.000474148,0.000474148
2,59.8831,1.8171,5.6174,1.36188,0.7305,0.55131,0.52573,0.3321,1.13824,1.60322,1.09614,0.000931662,0.000931662,0.000931662
3,88.897,1.60531,3.88581,1.3167,0.95034,0.632,0.65573,0.41357,1.06002,1.2289,1.06249,0.00137031,0.00137031,0.00137031
4,118.028,1.51411,2.59669,1.30802,0.98107,0.63243,0.67572,0.40567,0.98062,1.70452,1.03868,0.00134412,0.00134412,0.00134412
5,147.216,1.394,2.06368,1.26892,0.9471,0.62834,0.85057,0.49308,0.95891,1.19659,0.98981,0.00131582,0.00131582,0.00131582
6,176.715,1.33409,1.54022,1.24892,0.9729,0.81722,0.85582,0.55592,0.94331,0.73315,1.00025,0.00128753,0.00128753,0.00128753
7,206.697,1.29717,1.31254,1.23116,0.87171,0.81954,0.85209,0.5574,1.11492,0.86077,0.99583,0.00125923,0.00125923,0.00125923
8,237.246,1.30542,1.14299,1.23994,0.89541,0.8092,0.85943,0.59718,0.85239,1.06402,0.98573,0.00123094,0.00123094,0.00123094
9,267.825,1.23097,1.05464,1.20283,0.86967,0.8193,0.83445,0.57148,0.8704,0.92568,0.99395,0.00120265,0.00120265,0.00120265
10,298.398,1.23136,0.95042,1.18783,0.84889,0.90306,0.908,0.68352,0.90704,0.76792,0.9766,0.00117435,0.00117435,0.00117435
11,329.659,1.15939,0.95975,1.16617,0.75639,0.91316,0.89872,0.61475,0.94403,1.64249,0.96552,0.00114606,0.00114606,0.00114606
12,360.835,1.17011,0.91651,1.17612,0.84903,0.98592,0.93656,0.65106,0.92419,0.81452,0.97842,0.00111776,0.00111776,0.00111776
13,392.015,1.18832,0.83825,1.18019,0.89304,0.90965,0.94307,0.6222,0.97955,0.91816,0.96165,0.00108947,0.00108947,0.00108947
14,423.412,1.177,0.82342,1.16096,0.97766,0.96492,0.99185,0.66801,0.89126,0.78563,0.95249,0.00106118,0.00106118,0.00106118
15,455.025,1.16518,0.80195,1.18202,0.90435,0.99649,0.99224,0.62008,0.98608,0.79926,0.97299,0.00103288,0.00103288,0.00103288
16,486.658,1.15393,0.77529,1.16757,0.99058,0.99346,0.99217,0.65535,0.91577,0.63613,0.96555,0.00100459,0.00100459,0.00100459
17,518.284,1.15125,0.77856,1.16112,0.94266,0.98645,0.9887,0.68551,0.88796,0.9557,0.96107,0.000976293,0.000976293,0.000976293
18,550.027,1.14664,0.7558,1.14938,0.89453,0.98639,0.95734,0.64188,0.86234,0.82575,0.95437,0.000947999,0.000947999,0.000947999
19,582.09,1.10621,0.69969,1.15054,0.86187,0.99649,0.93632,0.65105,0.82038,0.59883,0.95478,0.000919704,0.000919704,0.000919704
20,613.938,1.08622,0.69254,1.1305,0.98548,0.98639,0.99171,0.68542,0.82932,0.77551,0.94884,0.00089141,0.00089141,0.00089141
21,645.82,1.07611,0.72155,1.13092,0.85541,0.98639,0.93557,0.67232,0.99953,0.80634,0.95355,0.000863116,0.000863116,0.000863116
22,677.574,1.08951,0.69782,1.15229,0.90406,0.89621,0.93523,0.66624,0.86524,0.67639,0.95269,0.000834822,0.000834822,0.000834822
23,709.596,1.08914,0.70561,1.15335,0.92539,0.81956,0.90714,0.63725,0.86799,0.62455,0.96465,0.000806528,0.000806528,0.000806528
24,741.866,1.07482,0.67598,1.1298,0.96979,0.89609,0.96164,0.6793,0.85534,0.56487,0.94261,0.000778233,0.000778233,0.000778233
25,773.855,1.06372,0.65801,1.13808,0.97581,0.98639,0.99006,0.6776,0.85878,0.77575,0.94934,0.000749939,0.000749939,0.000749939
26,805.697,1.06172,0.66414,1.12249,0.84787,0.98133,0.95862,0.68483,0.79323,0.6376,0.92674,0.000721645,0.000721645,0.000721645
27,837.863,1.0689,0.64586,1.13186,0.97358,0.98004,0.99226,0.67231,0.86075,0.52554,0.94945,0.000693351,0.000693351,0.000693351
28,869.88,1.05891,0.652,1.13851,0.91146,0.97878,0.9897,0.62818,0.8723,0.63451,0.98247,0.000665057,0.000665057,0.000665057
29,902.595,1.04741,0.62715,1.11995,0.91279,0.98639,0.9914,0.66524,0.86474,0.65483,0.95487,0.000636762,0.000636762,0.000636762
30,934.506,1.0297,0.61499,1.10619,0.98396,0.97322,0.99113,0.67783,0.81372,0.65061,0.94406,0.000608468,0.000608468,0.000608468
31,966.638,1.02136,0.6159,1.11675,0.94453,0.97256,0.99207,0.67522,0.84001,0.7276,0.9285,0.000580174,0.000580174,0.000580174
32,998.948,1.01424,0.61199,1.1031,0.98723,0.98639,0.9916,0.67995,0.76332,0.80976,0.93384,0.00055188,0.00055188,0.00055188
33,1030.98,1.03257,0.61878,1.13873,0.98351,0.99638,0.99151,0.6696,0.81251,0.65691,0.94391,0.000523586,0.000523586,0.000523586
34,1063.06,1.00513,0.58748,1.11197,0.98285,0.98973,0.99145,0.67036,0.90753,0.6684,0.93833,0.000495291,0.000495291,0.000495291
35,1095.67,0.99669,0.5908,1.0907,0.98568,0.97917,0.99026,0.67007,0.82178,0.64541,0.93645,0.000466997,0.000466997,0.000466997
36,1128.28,0.98386,0.59219,1.11279,0.97423,0.98048,0.99117,0.72185,0.78408,0.52259,0.92226,0.000438703,0.000438703,0.000438703
37,1160.47,0.98838,0.60221,1.09872,0.96819,0.99649,0.99176,0.69799,0.82377,0.47224,0.93002,0.000410409,0.000410409,0.000410409
38,1192.66,0.97628,0.58489,1.10653,0.97354,0.98154,0.99117,0.70262,0.83881,0.53033,0.93942,0.000382115,0.000382115,0.000382115
39,1225.25,0.974,0.57412,1.09532,0.99134,0.98076,0.99146,0.68469,0.84423,0.6455,0.92983,0.00035382,0.00035382,0.00035382
40,1257.65,0.97711,0.59629,1.0878,0.98501,0.98639,0.9917,0.68457,0.80639,0.52493,0.92218,0.000325526,0.000325526,0.000325526
41,1290.48,0.96833,0.55231,1.10832,0.99359,0.98317,0.99219,0.66553,0.9119,0.47828,0.94552,0.000297232,0.000297232,0.000297232
42,1322.37,0.91861,0.53773,1.09143,0.98718,0.96132,0.99186,0.65617,0.88045,0.48587,0.93971,0.000268938,0.000268938,0.000268938
43,1354.31,0.90098,0.54402,1.08517,0.98382,0.97717,0.99245,0.6482,0.85034,0.48753,0.93374,0.000240644,0.000240644,0.000240644
44,1386.67,0.90618,0.55284,1.09687,0.96265,0.97251,0.99176,0.69317,0.81619,0.47056,0.92106,0.000212349,0.000212349,0.000212349
45,1418.7,0.89657,0.53373,1.10187,0.98625,0.98918,0.99233,0.68734,0.80019,0.44012,0.93495,0.000184055,0.000184055,0.000184055
46,1450.69,0.91203,0.52756,1.11013,0.98387,0.98675,0.99231,0.67516,0.84952,0.42179,0.92857,0.000155761,0.000155761,0.000155761
47,1482.75,0.89104,0.53073,1.08095,1,0.95286,0.99261,0.67184,0.83622,0.42959,0.92811,0.000127467,0.000127467,0.000127467
48,1514.79,0.87178,0.50974,1.08203,0.99226,0.9585,0.98958,0.65885,0.86022,0.43045,0.93214,9.91726e-05,9.91726e-05,9.91726e-05
49,1546.88,0.85728,0.52062,1.07323,0.9829,0.98639,0.99187,0.6833,0.84343,0.41394,0.92502,7.08784e-05,7.08784e-05,7.08784e-05
50,1579.59,0.8617,0.5119,1.07466,0.98374,0.98639,0.99224,0.71027,0.83137,0.40578,0.92462,4.25842e-05,4.25842e-05,4.25842e-05
