epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4402,3.06031,9.78954,2.19881,0.00418,1,0.08041,0.03966,1.83004,3.31903,1.68493,0.000471473,0.000471473,0.000471473
2,34.2712,1.87634,5.14607,1.43633,0.69277,0.4424,0.40579,0.20816,1.83239,2.01013,1.64918,0.000885251,0.000885251,0.000885251
3,48.0859,1.66682,4.28403,1.33032,0.75256,0.45684,0.59682,0.33954,1.63762,1.63501,1.48557,0.00123615,0.00123615,0.00123615
4,62.6008,1.55984,3.46857,1.26001,0.7695,0.4774,0.66772,0.39294,1.40854,1.35667,1.41758,0.00114606,0.00114606,0.00114606
5,76.9244,1.48209,3.02638,1.24888,0.66997,0.63438,0.7524,0.44577,1.33663,1.20481,1.38946,0.00105174,0.00105174,0.00105174
6,93.5643,1.35143,4.04013,1.23885,0.73051,0.87077,0.94575,0.64968,1.31957,1.0908,1.40397,0.00095743,0.00095743,0.00095743
7,109.324,1.3238,3.43546,1.25338,0.87226,0.93334,0.98397,0.64763,1.2939,0.88671,1.40963,0.000863116,0.000863116,0.000863116
8,123.308,1.29364,3.1533,1.29545,0.94831,0.94503,0.98689,0.62942,1.17422,0.82228,1.38593,0.000768802,0.000768802,0.000768802
9,137.874,1.22404,2.66232,1.26807,0.94837,0.99531,0.98675,0.61904,1.276,0.79448,1.40629,0.000674488,0.000674488,0.000674488
10,151.862,1.15019,2.51065,1.23601,0.99793,0.97533,0.99421,0.6626,1.14333,0.7295,1.36508,0.000580174,0.000580174,0.000580174
11,166.45,1.16497,2.22446,1.23434,0.88939,0.94896,0.99364,0.65374,1.13377,0.74063,1.34413,0.00048586,0.00048586,0.00048586
12,181.528,1.10531,2.09816,1.21581,0.9077,0.98508,0.99463,0.68134,1.14455,0.68629,1.35241,0.000391546,0.000391546,0.000391546
13,195.622,1.06888,1.9198,1.19522,0.92018,0.99086,0.995,0.69209,1.20708,0.65059,1.35207,0.000297232,0.000297232,0.000297232
14,210.295,1.06241,1.88917,1.19717,0.88486,0.97986,0.9913,0.67074,1.12467,0.69048,1.35333,0.000202918,0.000202918,0.000202918
15,225.347,1.04439,1.86588,1.16791,0.88276,0.98938,0.995,0.68872,1.11189,0.67779,1.34626,0.000108604,0.000108604,0.000108604
