epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5048,3.06031,9.78954,2.19881,0.00418,1,0.08041,0.03966,1.83004,3.31903,1.68493,0.000471473,0.000471473,0.000471473
2,28.739,1.87728,5.16854,1.44007,0.49774,0.2696,0.30735,0.09228,2.04077,2.10454,1.65513,0.000916529,0.000916529,0.000916529
3,41.8737,1.79656,4.4183,1.38923,0.69584,0.44004,0.48235,0.26424,1.59265,1.59155,1.53475,0.00133015,0.00133015,0.00133015
4,55.0024,1.61089,3.65359,1.30364,0.87084,0.39851,0.54715,0.32773,1.49856,1.36698,1.45366,0.00128753,0.00128753,0.00128753
5,68.2299,1.52979,2.9616,1.24498,0.63646,0.87778,0.93941,0.59035,1.34018,1.30379,1.41043,0.00124037,0.00124037,0.00124037
6,81.45,1.46438,2.57047,1.23514,0.72784,0.89744,0.94685,0.50136,1.66262,1.14352,1.41648,0.00119322,0.00119322,0.00119322
7,94.6574,1.42018,2.31518,1.20747,0.87113,0.93888,0.99034,0.66435,1.20754,0.84984,1.3511,0.00114606,0.00114606,0.00114606
8,107.945,1.3707,2.07836,1.19882,0.93266,0.94012,0.98776,0.60674,1.36191,0.8437,1.36276,0.0010989,0.0010989,0.0010989
9,121.129,1.32622,2.00319,1.19527,0.95467,0.95674,0.99202,0.61059,1.23998,0.82969,1.36767,0.00105174,0.00105174,0.00105174
10,134.353,1.28214,1.77296,1.20669,0.95873,0.95438,0.98485,0.57149,1.52118,0.80586,1.41076,0.00100459,0.00100459,0.00100459
11,147.608,1.24482,1.58143,1.16637,0.93736,0.88757,0.9704,0.60795,1.27828,0.78652,1.33847,0.00095743,0.00095743,0.00095743
12,160.894,1.24709,1.44105,1.17118,0.87159,0.94697,0.98667,0.67933,1.16044,0.79937,1.33397,0.000910273,0.000910273,0.000910273
13,174.234,1.23459,1.36408,1.16596,0.83364,0.93641,0.98709,0.69622,1.08602,0.70728,1.32797,0.000863116,0.000863116,0.000863116
14,187.737,1.24677,1.34616,1.16133,0.9103,0.9842,0.99458,0.6568,1.17989,0.79215,1.30915,0.000815959,0.000815959,0.000815959
15,201.095,1.18427,1.25715,1.14353,0.94278,0.93631,0.99359,0.62099,1.28662,0.7083,1.33776,0.000768802,0.000768802,0.000768802
16,214.545,1.18351,1.16302,1.18172,0.97181,0.98842,0.99486,0.6708,1.10293,0.66754,1.31716,0.000721645,0.000721645,0.000721645
17,228.421,1.21154,1.14128,1.16539,0.98542,0.97145,0.99486,0.67281,1.1023,0.66645,1.32825,0.000674488,0.000674488,0.000674488
18,242.71,1.15354,1.084,1.14731,1,0.96722,0.995,0.64863,1.30353,0.68703,1.31538,0.000627331,0.000627331,0.000627331
19,256.976,1.12565,1.05101,1.15846,0.98034,0.97047,0.995,0.63966,1.33179,0.6732,1.32141,0.000580174,0.000580174,0.000580174
20,271.09,1.13566,1.01774,1.15572,0.96221,0.98561,0.995,0.64337,1.2189,0.65092,1.31989,0.000533017,0.000533017,0.000533017
21,287.094,1.01598,1.17916,1.14427,0.92317,0.94165,0.99491,0.60718,1.21741,0.78382,1.31774,0.00048586,0.00048586,0.00048586
22,302.518,1.04179,1.17818,1.16713,0.95449,0.98951,0.995,0.57065,1.19013,0.73499,1.3141,0.000438703,0.000438703,0.000438703
23,318.136,1.0384,1.12672,1.16331,0.94282,0.98718,0.99463,0.6194,1.23835,0.67337,1.31014,0.000391546,0.000391546,0.000391546
24,334.79,0.99264,1.02023,1.1366,0.95417,0.97606,0.995,0.56994,1.29519,0.71918,1.3252,0.000344389,0.000344389,0.000344389
25,357.64,0.97608,0.99445,1.11882,0.96395,0.99546,0.995,0.61196,1.28172,0.66784,1.32806,0.000297232,0.000297232,0.000297232
26,373.438,0.96672,0.95813,1.12574,0.96471,0.98726,0.995,0.60296,1.33124,0.6671,1.31673,0.000250075,0.000250075,0.000250075
27,388.184,0.98983,0.96198,1.11934,0.96909,0.9864,0.99491,0.65413,1.19038,0.63696,1.31429,0.000202918,0.000202918,0.000202918
28,403.067,0.93524,0.95894,1.10369,0.9704,0.99315,0.995,0.61629,1.33094,0.63319,1.30019,0.000155761,0.000155761,0.000155761
29,418.631,0.94561,0.93888,1.12162,0.96465,0.99172,0.995,0.63736,1.22865,0.655,1.29502,0.000108604,0.000108604,0.000108604
30,432.691,0.93059,0.90674,1.11527,0.98038,0.99126,0.995,0.62679,1.28814,0.6569,1.30532,6.1447e-05,6.1447e-05,6.1447e-05
